hour_of_day,day_part,order_count,revenue_usd
0,Night (00-05),0,
1,Night (00-05),0,
2,Night (00-05),0,
3,Night (00-05),0,
4,Night (00-05),0,
5,Night (00-05),0,
6,Morning (06-11),0,
7,Morning (06-11),0,
8,Morning (06-11),0,
9,Morning (06-11),37,7136.4484280000015
10,Morning (06-11),45,8758.070953
11,Morning (06-11),44,10309.62156
12,Afternoon (12-17),44,10568.698315
13,Afternoon (12-17),36,9579.706204000002
14,Afternoon (12-17),52,10807.006054
15,Afternoon (12-17),49,11463.479462
16,Afternoon (12-17),41,10047.1335
17,Afternoon (12-17),6,1054.91092
18,Evening (18-23),6,1600.758226
19,Evening (18-23),0,
20,Evening (18-23),0,
21,Evening (18-23),0,
22,Evening (18-23),0,
23,Evening (18-23),0,
