product_id,product_name,category,units_sold,revenue_usd,rank_by_volume,rank_by_revenue
9,USB-C Hub 7-in-1,Electronics,4.0,1693.6000000000001,56,1
15,Leather Ankle Boots,Clothing,8.0,1477.8802560000001,33,2
8,Tablet Stand Adjustable,Electronics,4.0,1464.1696450000002,56,3
11,Organic Cotton T-Shirt,Clothing,4.0,1390.55,56,4
22,Mindfulness and Meditation,Books,5.0,1382.0100000000002,51,5
23,Cooking Around the World,Books,4.0,1370.0949850000002,56,6
37,Microfiber Cleaning Cloths,Home & Garden,8.0,1369.233084,33,7
29,Machine Learning Fundamentals,Books,4.0,1346.00351,56,8
35,Memory Foam Pillow,Home & Garden,4.0,1329.3292000000001,56,9
53,Hair Styling Tool Set,Beauty & Personal Care,3.0,1293.0500000000002,70,10
18,Athletic Leggings,Clothing,4.0,1278.5918,56,11
75,Dashboard Camera HD,Automotive,24.0,1270.115628,6,12
16,Cotton Hoodie Pullover,Clothing,5.0,1268.99162,51,13
31,Ceramic Plant Pot Set,Home & Garden,4.0,1232.15,56,14
6,Gaming Mechanical Keyboard,Electronics,3.0,1202.4425,70,15
4,4K Webcam,Electronics,3.0,1185.1454099999999,70,16
59,Facial Cleansing Brush,Beauty & Personal Care,8.0,1106.539064,33,17
26,Financial Planning Basics,Books,4.0,1103.864005,56,18
78,Car Cleaning Kit,Automotive,12.0,1072.588556,19,19
12,Denim Jacket Classic,Clothing,4.0,1048.54814,56,20
20,Winter Puffer Jacket,Clothing,3.0,1042.8233400000001,70,21
27,Creative Writing Workshop,Books,8.0,1040.25712,33,22
14,Wool Blend Sweater,Clothing,9.0,1037.65,26,23
87,Dog Training Treats,Pet Supplies,40.0,1027.4347280000002,1,24
32,LED String Lights,Home & Garden,3.0,1014.4022900000001,70,25
44,Hiking Backpack 40L,Sports & Outdoors,9.0,1005.8995560000001,26,26
60,Hair Mask Treatment,Beauty & Personal Care,6.0,1004.104414,41,27
19,Casual Button-Down Shirt,Clothing,4.0,1002.3900000000001,56,28
89,Automatic Pet Feeder,Pet Supplies,20.0,997.6114999999999,10,29
7,Ergonomic Wireless Mouse,Electronics,3.0,992.49,70,30
1,Wireless Bluetooth Headphones,Electronics,3.0,981.49,70,31
58,Body Lotion Luxury,Beauty & Personal Care,6.0,977.6265999999999,41,32
28,Home Gardening Encyclopedia,Books,5.0,976.5338549999999,51,33
33,Bamboo Cutting Board,Home & Garden,5.0,975.72054,51,34
70,Educational Tablet Kids,Toys & Games,6.0,973.468875,41,35
