id,order_id,product_id,quantity,unit_price,currency,_loaded_at
1,1,1,1,89.99,USD,2025-01-01 02:00:00
2,2,15,2,78.25,GBP,2025-01-01 02:00:00
3,3,23,1,234.75,EUR,2025-01-01 02:00:00
4,4,45,3,22.42,EUR,2025-01-01 02:00:00
5,5,8,1,299.99,EUR,2025-01-01 02:00:00
6,5,12,2,72.91,EUR,2025-01-01 02:00:00
7,6,34,1,123.45,EUR,2025-01-01 02:00:00
8,7,67,4,19.73,USD,2025-01-01 02:00:00
9,8,19,1,199.99,USD,2025-01-01 02:00:00
10,8,28,1,98.76,USD,2025-01-01 02:00:00
11,9,56,2,94.80,EUR,2025-01-01 02:00:00
12,10,3,1,356.25,EUR,2025-01-01 02:00:00
13,11,41,3,48.60,EUR,2025-01-01 02:00:00
14,12,7,1,189.99,USD,2025-01-01 02:00:00
15,12,22,1,77.31,USD,2025-01-01 02:00:00
16,13,89,5,17.99,USD,2025-01-01 02:00:00
17,14,14,2,89.25,USD,2025-01-01 02:00:00
18,15,5,1,423.75,USD,2025-01-01 02:00:00
19,16,33,1,156.80,USD,2025-01-01 02:00:00
20,17,11,1,289.45,USD,2025-01-01 02:00:00
21,18,76,6,22.45,USD,2025-01-01 02:00:00
22,19,29,1,245.90,USD,2025-01-01 02:00:00
23,20,4,1,367.25,EUR,2025-01-01 02:00:00
24,21,58,2,99.30,USD,2025-01-01 02:00:00
25,22,9,1,456.80,USD,2025-01-01 02:00:00
26,23,82,7,17.68,USD,2025-01-01 02:00:00
27,24,16,1,278.90,USD,2025-01-01 02:00:00
28,25,47,3,63.15,EUR,2025-01-01 02:00:00
29,26,6,1,345.60,EUR,2025-01-01 02:00:00
30,27,71,4,41.96,USD,2025-01-01 02:00:00
31,28,25,1,234.50,USD,2025-01-01 02:00:00
32,29,13,1,298.75,USD,2025-01-01 02:00:00
33,30,39,2,78.45,EUR,2025-01-01 02:00:00
34,31,2,1,445.80,EUR,2025-01-01 02:00:00
35,32,64,8,23.71,USD,2025-01-01 02:00:00
36,33,18,1,267.40,USD,2025-01-01 02:00:00
37,34,52,1,356.75,USD,2025-01-01 02:00:00
38,35,27,2,89.45,EUR,2025-01-01 02:00:00
39,36,10,1,423.55,USD,2025-01-01 02:00:00
40,37,73,5,46.96,USD,2025-01-01 02:00:00
41,38,36,3,48.57,USD,2025-01-01 02:00:00
42,39,21,1,298.45,USD,2025-01-01 02:00:00
43,40,49,2,94.95,EUR,2025-01-01 02:00:00
44,41,17,1,367.25,EUR,2025-01-01 02:00:00
45,42,85,9,17.43,USD,2025-01-01 02:00:00
46,43,31,1,278.60,USD,2025-01-01 02:00:00
47,44,1,1,445.90,USD,2025-01-01 02:00:00
48,45,68,6,20.63,EUR,2025-01-01 02:00:00
49,46,24,1,234.85,USD,2025-01-01 02:00:00
50,47,55,2,94.85,USD,2025-01-01 02:00:00
51,48,8,1,356.45,USD,2025-01-01 02:00:00
52,49,77,4,41.98,USD,2025-01-01 02:00:00
53,50,32,1,298.55,EUR,2025-01-01 02:00:00
54,51,43,3,48.60,USD,2025-01-01 02:00:00
55,52,15,2,211.83,GBP,2025-01-01 02:00:00
56,53,59,2,139.20,EUR,2025-01-01 02:00:00
57,54,26,1,189.95,EUR,2025-01-01 02:00:00
58,55,4,1,367.20,EUR,2025-01-01 02:00:00
59,56,81,8,19.59,EUR,2025-01-01 02:00:00
60,57,35,1,234.90,USD,2025-01-01 02:00:00
61,58,12,1,445.55,USD,2025-01-01 02:00:00
62,59,74,7,17.69,EUR,2025-01-01 02:00:00
63,60,20,1,298.70,EUR,2025-01-01 02:00:00
64,61,48,3,63.15,EUR,2025-01-01 02:00:00
65,62,7,1,356.80,USD,2025-01-01 02:00:00
66,63,86,10,16.77,USD,2025-01-01 02:00:00
67,64,30,1,278.95,USD,2025-01-01 02:00:00
68,65,53,1,423.40,USD,2025-01-01 02:00:00
