id,customer_id,order_date,total_amount,currency,status,_loaded_at
1,1,2024-01-16 14:30:00,89.99,USD,completed,2025-01-01 02:00:00
2,2,2024-01-21 10:15:00,156.50,GBP,completed,2025-01-01 02:00:00
3,3,2024-01-26 16:45:00,234.75,EUR,completed,2025-01-01 02:00:00
4,4,2024-01-28 11:20:00,67.25,EUR,completed,2025-01-01 02:00:00
5,5,2024-01-30 13:40:00,445.80,EUR,completed,2025-01-01 02:00:00
6,6,2024-02-02 09:15:00,123.45,EUR,completed,2025-01-01 02:00:00
7,7,2024-02-04 15:30:00,78.90,USD,completed,2025-01-01 02:00:00
8,8,2024-02-06 12:25:00,298.75,USD,completed,2025-01-01 02:00:00
9,9,2024-02-08 14:50:00,189.60,EUR,completed,2025-01-01 02:00:00
10,10,2024-02-10 10:35:00,356.25,EUR,completed,2025-01-01 02:00:00
11,11,2024-02-12 16:20:00,145.80,EUR,completed,2025-01-01 02:00:00
12,12,2024-02-14 11:45:00,267.30,USD,completed,2025-01-01 02:00:00
13,13,2024-02-16 13:15:00,89.95,USD,completed,2025-01-01 02:00:00
14,14,2024-02-18 15:40:00,178.50,USD,completed,2025-01-01 02:00:00
15,15,2024-02-20 09:55:00,423.75,USD,completed,2025-01-01 02:00:00
16,16,2024-03-01 14:25:00,156.80,USD,completed,2025-01-01 02:00:00
17,17,2024-03-03 10:40:00,289.45,USD,completed,2025-01-01 02:00:00
18,18,2024-03-05 16:15:00,134.70,USD,completed,2025-01-01 02:00:00
19,19,2024-03-07 12:30:00,245.90,USD,completed,2025-01-01 02:00:00
20,20,2024-03-09 14:55:00,367.25,EUR,completed,2025-01-01 02:00:00
21,21,2024-03-11 11:20:00,198.60,USD,completed,2025-01-01 02:00:00
22,22,2024-03-13 15:45:00,456.80,USD,completed,2025-01-01 02:00:00
23,23,2024-03-15 09:35:00,123.75,USD,completed,2025-01-01 02:00:00
24,24,2024-03-17 13:50:00,278.90,USD,completed,2025-01-01 02:00:00
25,25,2024-03-19 16:10:00,189.45,EUR,completed,2025-01-01 02:00:00
26,26,2024-03-21 10:25:00,345.60,EUR,completed,2025-01-01 02:00:00
27,27,2024-03-23 14:40:00,167.85,USD,completed,2025-01-01 02:00:00
28,28,2024-03-25 12:15:00,234.50,USD,completed,2025-01-01 02:00:00
29,29,2024-03-27 15:30:00,298.75,USD,completed,2025-01-01 02:00:00
30,30,2024-03-29 11:45:00,156.90,EUR,completed,2025-01-01 02:00:00
31,31,2024-04-02 14:20:00,445.80,EUR,completed,2025-01-01 02:00:00
32,32,2024-04-04 10:35:00,189.65,USD,completed,2025-01-01 02:00:00
33,33,2024-04-06 16:50:00,267.40,USD,completed,2025-01-01 02:00:00
34,34,2024-04-08 12:15:00,356.75,USD,completed,2025-01-01 02:00:00
35,35,2024-04-10 14:30:00,178.90,EUR,completed,2025-01-01 02:00:00
36,36,2024-04-12 09:45:00,423.55,USD,completed,2025-01-01 02:00:00
37,37,2024-04-14 15:25:00,234.80,USD,completed,2025-01-01 02:00:00
38,38,2024-04-16 11:40:00,145.70,USD,completed,2025-01-01 02:00:00
39,39,2024-04-18 13:55:00,298.45,USD,completed,2025-01-01 02:00:00
40,40,2024-04-20 16:10:00,189.90,EUR,completed,2025-01-01 02:00:00
41,41,2024-04-22 10:25:00,367.25,EUR,completed,2025-01-01 02:00:00
42,42,2024-04-24 14:40:00,156.85,USD,completed,2025-01-01 02:00:00
43,43,2024-04-26 12:55:00,278.60,USD,completed,2025-01-01 02:00:00
44,44,2024-04-28 15:15:00,445.90,USD,completed,2025-01-01 02:00:00
45,45,2024-04-30 11:30:00,123.75,EUR,completed,2025-01-01 02:00:00
46,46,2024-05-02 14:45:00,234.85,USD,completed,2025-01-01 02:00:00
47,47,2024-05-04 10:20:00,189.70,USD,completed,2025-01-01 02:00:00
48,48,2024-05-06 16:35:00,356.45,USD,completed,2025-01-01 02:00:00
49,49,2024-05-08 12:50:00,167.90,USD,completed,2025-01-01 02:00:00
50,50,2024-05-10 14:15:00,298.55,EUR,completed,2025-01-01 02:00:00
51,1,2024-05-12 09:30:00,145.80,USD,completed,2025-01-01 02:00:00
52,2,2024-05-14 15:45:00,423.65,GBP,completed,2025-01-01 02:00:00
53,3,2024-05-16 11:25:00,278.40,EUR,completed,2025-01-01 02:00:00
54,4,2024-05-18 13:40:00,189.95,EUR,completed,2025-01-01 02:00:00
55,5,2024-05-20 16:55:00,367.20,EUR,completed,2025-01-01 02:00:00
56,6,2024-06-01 14:10:00,156.75,EUR,completed,2025-01-01 02:00:00
57,7,2024-06-03 10:25:00,234.90,USD,completed,2025-01-01 02:00:00
58,8,2024-06-05 16:40:00,445.55,USD,completed,2025-01-01 02:00:00
59,9,2024-06-07 12:15:00,123.85,EUR,completed,2025-01-01 02:00:00
60,10,2024-06-09 14:30:00,298.70,EUR,completed,2025-01-01 02:00:00
61,11,2024-06-11 09:45:00,189.45,EUR,completed,2025-01-01 02:00:00
62,12,2024-06-13 15:20:00,356.80,USD,completed,2025-01-01 02:00:00
63,13,2024-06-15 11:35:00,167.65,USD,completed,2025-01-01 02:00:00
64,14,2024-06-17 13:50:00,278.95,USD,completed,2025-01-01 02:00:00
65,15,2024-06-19 16:05:00,423.40,USD,completed,2025-01-01 02:00:00
66,16,2024-06-21 10:20:00,145.90,USD,completed,2025-01-01 02:00:00
67,17,2024-06-23 14:35:00,234.75,USD,completed,2025-01-01 02:00:00
68,18,2024-06-25 12:50:00,189.80,USD,completed,2025-01-01 02:00:00
69,19,2024-06-27 15:15:00,367.45,USD,completed,2025-01-01 02:00:00
70,20,2024-06-29 11:30:00,298.60,USD,completed,2025-01-01 02:00:00
71,21,2024-07-01 14:25:00,156.85,USD,completed,2025-01-01 02:00:00
72,22,2024-07-03 10:40:00,445.70,USD,completed,2025-01-01 02:00:00
73,23,2024-07-05 16:15:00,123.95,USD,completed,2025-01-01 02:00:00
74,24,2024-07-07 12:30:00,278.50,USD,completed,2025-01-01 02:00:00
75,25,2024-07-09 14:45:00,189.75,EUR,completed,2025-01-01 02:00:00
76,26,2024-07-11 09:20:00,356.90,EUR,completed,2025-01-01 02:00:00
77,27,2024-07-13 15:35:00,234.65,USD,completed,2025-01-01 02:00:00
78,28,2024-07-15 11:50:00,167.80,USD,completed,2025-01-01 02:00:00
79,29,2024-07-17 13:15:00,423.55,USD,completed,2025-01-01 02:00:00
80,30,2024-07-19 16:30:00,298.85,USD,completed,2025-01-01 02:00:00
81,31,2024-07-21 10:45:00,145.70,EUR,completed,2025-01-01 02:00:00
82,32,2024-07-23 14:20:00,367.40,USD,completed,2025-01-01 02:00:00
83,33,2024-07-25 12:35:00,189.90,USD,completed,2025-01-01 02:00:00
84,34,2024-08-01 09:15:00,234.50,USD,completed,2025-01-01 02:00:00
85,35,2024-08-03 14:30:00,156.75,EUR,completed,2025-01-01 02:00:00
86,36,2024-08-05 11:45:00,389.99,USD,completed,2025-01-01 02:00:00
87,37,2024-08-07 16:20:00,278.40,GBP,completed,2025-01-01 02:00:00
88,38,2024-08-09 10:35:00,445.80,EUR,completed,2025-01-01 02:00:00
89,39,2024-08-11 13:50:00,167.25,USD,completed,2025-01-01 02:00:00
90,40,2024-08-13 15:15:00,298.65,XYZ,completed,2025-01-01 02:00:00
91,41,2024-08-15 12:40:00,189.90,EUR,completed,2025-01-01 02:00:00
92,42,2024-08-17 09:25:00,356.75,USD,completed,2025-01-01 02:00:00
93,43,2024-08-19 14:55:00,123.45,USD,completed,2025-01-01 02:00:00
94,44,2024-08-21 11:10:00,267.80,EUR,completed,2025-01-01 02:00:00
95,45,2024-08-23 16:35:00,423.55,USD,completed,2025-01-01 02:00:00
96,46,2024-08-25 13:20:00,178.90,ABC,completed,2025-01-01 02:00:00
97,47,2024-08-27 10:45:00,345.60,USD,completed,2025-01-01 02:00:00
98,48,2024-08-29 15:30:00,234.75,EUR,completed,2025-01-01 02:00:00
99,49,2024-08-31 12:15:00,189.45,USD,completed,2025-01-01 02:00:00
100,50,2024-09-02 09:40:00,298.80,USD,completed,2025-01-01 02:00:00
101,1,2024-09-04 14:25:00,156.90,EUR,completed,2025-01-01 02:00:00
102,2,2024-09-06 11:50:00,445.70,USD,completed,2025-01-01 02:00:00
103,3,2024-09-08 16:15:00,267.35,USD,completed,2025-01-01 02:00:00
104,4,2024-09-10 13:30:00,389.25,EUR,completed,2025-01-01 02:00:00
105,5,2024-09-12 10:45:00,178.60,QWE,completed,2025-01-01 02:00:00
106,6,2024-09-14 15:20:00,234.85,USD,completed,2025-01-01 02:00:00
107,7,2024-09-16 12:35:00,356.40,EUR,completed,2025-01-01 02:00:00
108,8,2024-09-18 09:50:00,123.75,USD,completed,2025-01-01 02:00:00
109,9,2024-09-20 14:15:00,298.55,USD,completed,2025-01-01 02:00:00
110,10,2024-09-22 11:40:00,189.80,EUR,completed,2025-01-01 02:00:00
111,11,2024-09-24 16:05:00,445.95,USD,completed,2025-01-01 02:00:00
112,12,2024-09-26 13:25:00,167.70,USD,completed,2025-01-01 02:00:00
113,13,2024-09-28 10:50:00,278.45,EUR,completed,2025-01-01 02:00:00
114,14,2024-09-30 15:35:00,356.80,USD,completed,2025-01-01 02:00:00
115,15,2024-10-02 12:20:00,234.60,ABC,completed,2025-01-01 02:00:00
116,16,2024-10-04 09:45:00,189.95,USD,completed,2025-01-01 02:00:00
117,17,2024-10-06 14:30:00,423.40,EUR,completed,2025-01-01 02:00:00
118,18,2024-10-08 11:55:00,156.85,USD,completed,2025-01-01 02:00:00
119,19,2024-10-10 16:10:00,298.70,USD,completed,2025-01-01 02:00:00
120,20,2024-10-12 13:35:00,267.25,EUR,completed,2025-01-01 02:00:00
121,21,2024-10-14 10:20:00,445.85,USD,completed,2025-01-01 02:00:00
122,22,2024-10-16 15:45:00,178.50,USD,completed,2025-01-01 02:00:00
123,23,2024-10-18 12:30:00,356.65,EUR,completed,2025-01-01 02:00:00
124,24,2024-10-20 09:55:00,234.90,USD,completed,2025-01-01 02:00:00
125,25,2024-10-22 14:40:00,189.75,XYZ,completed,2025-01-01 02:00:00
